	index	score	token	sentence	model	dimension	pos_tag	sentiment	rsv	word
0	0	0.09578100591897964	15367	8	5	blancos		NEU	10	vulnerables
1	1	0.06929204612970352	7777	8	5	blancos		NEG	9	pobres
2	2	0.05087541043758392	15898	8	5	blancos		POS	8	poderosos
3	3	0.03288819640874863	5149	8	5	blancos		NEU	7	pequeños
4	4	0.030587883666157722	8187	8	5	blancos		POS	6	ricos
5	5	0.028825340792536736	8084	8	5	blancos		NEG	5	afectados
6	6	0.026597728952765465	6270	8	5	blancos		NEU	4	populares
7	7	0.022850438952445984	45736	8	5	blancos		NEG	3	desfavorecidos
8	8	0.022670237347483635	18533	8	5	blancos		NEG	2	caros
9	9	0.021434253081679344	5655	8	5	blancos		NEU	1	fuertes
0	0	0.07353570312261581	15898	9	5	blancos		POS	10	poderosos
1	1	0.053454045206308365	15367	9	5	blancos		NEU	9	vulnerables
2	2	0.04592973738908768	7777	9	5	blancos		NEG	8	pobres
3	3	0.029115501791238785	8187	9	5	blancos		POS	7	ricos
4	4	0.02900514379143715	5655	9	5	blancos		POS	6	fuertes
5	5	0.025023868307471275	6270	9	5	blancos		NEU	5	populares
6	6	0.023832282051444054	2634	9	5	blancos		POS	4	importantes
7	7	0.022802555933594704	24436	9	5	blancos		NEG	3	débiles
8	8	0.02104596048593521	45736	9	5	blancos		NEG	2	desfavorecidos
9	9	0.019942529499530792	5149	9	5	blancos		NEU	1	pequeños
0	0	0.04338637739419937	2634	10	5	blancos		POS	10	importantes
1	1	0.04051961377263069	18533	10	5	blancos		NEG	9	caros
2	2	0.032379232347011566	10674	10	5	blancos		NEU	8	famosos
3	3	0.030001578852534294	6270	10	5	blancos		NEU	7	populares
4	4	0.02766754850745201	11953	10	5	blancos		NEU	6	destacados
5	5	0.027000248432159424	43175	10	5	blancos		NEU	5	buscados
6	6	0.024429520592093468	5149	10	5	blancos		NEU	4	pequeños
7	7	0.022395629435777664	15367	10	5	blancos		NEU	3	vulnerables
8	8	0.02002255991101265	5655	10	5	blancos		POS	2	fuertes
9	9	0.020013703033328056	10727	10	5	blancos		NEU	1	baratos
0	0	0.07857780158519745	3988	11	5	blancos		POS	10	buenos
1	1	0.05469285696744919	5655	11	5	blancos		NEU	9	fuertes
2	2	0.053022824227809906	10393	11	5	blancos		NEG	8	blancos
3	3	0.037859492003917694	15830	11	5	blancos		POS	7	bonitos
4	4	0.03373159095644951	24650	11	5	blancos		POS	6	finos
5	5	0.027108721435070038	6054	11	5	blancos		NEU	5	altos
6	6	0.024760950356721878	18533	11	5	blancos		NEG	4	caros
7	7	0.02239633910357952	22299	11	5	blancos		NEU	3	parecidos
8	8	0.020213693380355835	29671	11	5	blancos		NEU	2	llamativos
9	9	0.0174935944378376	8187	11	5	blancos		POS	1	ricos
0	0	0.10259618610143661	3497	12	5	blancos		NEG	10	pocos
1	1	0.056711483746767044	3988	12	5	blancos		POS	9	buenos
2	2	0.024291301146149635	8450	12	5	blancos		NEG	8	cuantos
3	3	0.019217319786548615	19428	12	5	blancos		POS	7	preciosos
4	4	0.018929021432995796	8700	12	5	blancos		NEG	6	malos
5	5	0.015899844467639923	18533	12	5	blancos		NEG	5	caros
6	6	0.013707411475479603	15830	12	5	blancos		POS	4	bonitos
7	7	0.01203093957155943	16885	12	5	blancos		POS	3	perfectos
8	8	0.0118110291659832	18618	12	5	blancos		NEG	2	locos
9	9	0.011071482673287392	8992	12	5	blancos		POS	1	excelentes
0	0	0.03474757820367813	2634	0	5	moros		POS	10	importantes
1	1	0.015122180804610252	6179	0	5	moros		NEU	9	reales
2	2	0.014879301190376282	11368	0	5	moros		NEU	8	normales
3	3	0.013983262702822685	5357	0	5	moros		NEU	7	necesarios
4	4	0.013358659110963345	15110	0	5	moros		NEU	6	impresionantes
5	5	0.012962372042238712	3144	0	5	moros		NEU	5	humanos
6	6	0.010883490554988384	3988	0	5	moros		POS	4	buenos
7	7	0.010545752942562103	8700	0	5	moros		NEG	3	malos
8	8	0.010426589287817478	1417	0	5	moros		NEU	2	diferentes
9	9	0.009819060564041138	16659	0	5	moros		NEG	1	peligrosos
0	0	0.03381839022040367	33511	1	5	moros		POS	10	bienvenidos
1	1	0.026845628395676613	20766	1	5	moros		POS	9	geniales
2	2	0.023699749261140823	3988	1	5	moros		POS	8	buenos
3	3	0.016850750893354416	8992	1	5	moros		POS	7	excelentes
4	4	0.01670137047767639	20244	1	5	moros		POS	6	maravillosos
5	5	0.014938893727958202	2634	1	5	moros		POS	5	importantes
6	6	0.014830075204372406	6179	1	5	moros		NEU	4	reales
7	7	0.014783350750803947	12441	1	5	moros		POS	3	espectaculares
8	8	0.014379903674125671	15110	1	5	moros		NEU	2	impresionantes
9	9	0.012103631161153316	14202	1	5	moros		POS	1	hermosos
0	0	0.04577244073152542	2274	2	5	moros		NEU	10	amigos
1	1	0.03806284815073013	18618	2	5	moros		NEG	9	locos
2	2	0.029728561639785767	34851	2	5	moros		POS	8	afortunados
3	3	0.026687651872634888	3988	2	5	moros		POS	7	buenos
4	4	0.02022831328213215	3497	2	5	moros		NEG	6	pocos
5	5	0.015937263146042824	7332	2	5	moros		NEU	5	ejemplos
6	6	0.014811082743108273	20244	2	5	moros		POS	4	maravillosos
7	7	0.012915512546896935	8450	2	5	moros		NEG	3	cuantos
8	8	0.012606739066541195	42100	2	5	moros		POS	2	guapos
9	9	0.012031374499201775	37637	2	5	moros		NEU	1	privilegiados
0	0	0.018766650930047035	17178	3	5	moros		NEU	10	musulmanes
1	1	0.01668153889477253	15137	3	5	moros		NEG	9	ilegales
2	2	0.016368674114346504	22524	3	5	moros		NEU	8	inocentes
3	3	0.015657320618629456	3144	3	5	moros		NEU	7	humanos
4	4	0.012117353267967701	316	3	5	moros		NEG	6	los
5	5	0.011228479444980621	33511	3	5	moros		POS	5	bienvenidos
6	6	0.011203921400010586	7743	3	5	moros		NEG	4	extranjeros
7	7	0.010807720012962818	10091	3	5	moros		NEG	3	inmigrantes
8	8	0.010005101561546326	9616	3	5	moros		NEU	2	cristianos
9	9	0.009560910984873772	7777	3	5	moros		NEG	1	pobres
0	0	0.018732666969299316	33511	4	5	moros		POS	10	bienvenidos
1	1	0.016669761389493942	316	4	5	moros		NEG	9	los
2	2	0.013710497878491879	22524	4	5	moros		NEU	8	inocentes
3	3	0.013259654864668846	23651	4	5	moros		NEG	7	corruptos
4	4	0.012440872378647327	15793	4	5	moros		NEG	6	falsos
5	5	0.011899453587830067	3144	4	5	moros		NEU	5	humanos
6	6	0.010314523242413998	5357	4	5	moros		NEU	4	necesarios
7	7	0.010181375779211521	3831	4	5	moros		NEU	3	ciudadanos
8	8	0.009685089811682701	13760	4	5	moros		POS	2	verdaderos
9	9	0.009484910406172276	6179	4	5	moros		NEU	1	reales
0	0	0.0423283688724041	33511	5	5	moros		POS	10	bienvenidos
1	1	0.02315955050289631	15110	5	5	moros		NEU	9	impresionantes
2	2	0.020896529778838158	8992	5	5	moros		POS	8	excelentes
3	3	0.020567987114191055	1292	5	5	moros		NEG	7	muchos
4	4	0.020490828901529312	2634	5	5	moros		POS	6	importantes
5	5	0.017695004120469093	12441	5	5	moros		POS	5	espectaculares
6	6	0.01614316739141941	7268	5	5	moros		NEU	4	numerosos
7	7	0.014336781576275826	23136	5	5	moros		NEU	3	curiosos
8	8	0.012114148586988449	3497	5	5	moros		NEG	2	pocos
9	9	0.011589204892516136	316	5	5	moros		NEG	1	los
0	0	0.057646650820970535	5357	6	5	moros		NEU	10	necesarios
1	1	0.02866082265973091	9199	6	5	moros		NEG	9	iguales
2	2	0.02073805406689644	2634	6	5	moros		NEU	8	importantes
3	3	0.017808353528380394	11368	6	5	moros		NEU	7	normales
4	4	0.01575414277613163	3144	6	5	moros		NEU	6	humanos
5	5	0.01512119360268116	3988	6	5	moros		POS	5	buenos
6	6	0.01368964184075594	16659	6	5	moros		NEG	4	peligrosos
7	7	0.013457008637487888	8700	6	5	moros		NEG	3	malos
8	8	0.011089710518717766	1417	6	5	moros		NEU	2	diferentes
9	9	0.010716254822909832	27597	6	5	moros		NEU	1	correctos
0	0	0.05870822072029114	5149	7	5	moros		NEU	10	pequeños
1	1	0.039093825966119766	2634	7	5	moros		POS	9	importantes
2	2	0.027141811326146126	10674	7	5	moros		NEU	8	famosos
3	3	0.024754485115408897	6270	7	5	moros		NEU	7	populares
4	4	0.022517602890729904	7423	7	5	moros		NEU	6	conocidos
5	5	0.021756023168563843	43175	7	5	moros		NEU	5	buscados
6	6	0.01992482878267765	12577	7	5	moros		POS	4	queridos
7	7	0.017309142276644707	5798	7	5	moros		NEU	3	comunes
8	8	0.016702920198440552	18225	7	5	moros		POS	2	divertidos
9	9	0.015536396764218807	11535	7	5	moros		NEU	1	cercanos
0	0	0.08591465651988983	15367	8	5	moros		NEU	10	vulnerables
1	1	0.0363982655107975	7777	8	5	moros		NEG	9	pobres
2	2	0.03407692164182663	5149	8	5	moros		NEU	8	pequeños
3	3	0.03122853860259056	2634	8	5	moros		POS	7	importantes
4	4	0.030776362866163254	15898	8	5	moros		POS	6	poderosos
5	5	0.029327237978577614	8084	8	5	moros		NEG	5	afectados
6	6	0.028214409947395325	18533	8	5	moros		NEG	4	caros
7	7	0.02738998457789421	43175	8	5	moros		NEU	3	buscados
8	8	0.027113642543554306	6270	8	5	moros		NEU	2	populares
9	9	0.02636808529496193	11062	8	5	moros		NEU	1	frecuentes
0	0	0.06345558166503906	15367	9	5	moros		NEU	10	vulnerables
1	1	0.04283345863223076	2634	9	5	moros		POS	9	importantes
2	2	0.039540648460388184	15898	9	5	moros		POS	8	poderosos
3	3	0.026910994201898575	7777	9	5	moros		NEG	7	pobres
4	4	0.026064056903123856	8084	9	5	moros		NEG	6	afectados
5	5	0.023917198181152344	5149	9	5	moros		NEU	5	pequeños
6	6	0.02185477316379547	6270	9	5	moros		NEU	4	populares
7	7	0.021195730194449425	43175	9	5	moros		NEU	3	buscados
8	8	0.020603997632861137	5655	9	5	moros		POS	2	fuertes
9	9	0.020212994888424873	11535	9	5	moros		NEU	1	cercanos
0	0	0.06211123242974281	2634	10	5	moros		POS	10	importantes
1	1	0.0337563157081604	6270	10	5	moros		NEU	9	populares
2	2	0.03353913873434067	18533	10	5	moros		NEG	8	caros
3	3	0.032571543008089066	10674	10	5	moros		NEU	7	famosos
4	4	0.0307955052703619	7423	10	5	moros		NEU	6	conocidos
5	5	0.029528912156820297	43175	10	5	moros		NEU	5	buscados
6	6	0.02809307724237442	11535	10	5	moros		NEU	4	cercanos
7	7	0.028056586161255836	11953	10	5	moros		POS	3	destacados
8	8	0.022936448454856873	35795	10	5	moros		NEU	2	visitados
9	9	0.022135885432362556	5149	10	5	moros		NEU	1	pequeños
0	0	0.0826161727309227	3988	11	5	moros		POS	10	buenos
1	1	0.06569621711969376	2634	11	5	moros		POS	9	importantes
2	2	0.028751781210303307	5655	11	5	moros		NEU	8	fuertes
3	3	0.025407740846276283	5798	11	5	moros		NEG	7	comunes
4	4	0.024659117683768272	18533	11	5	moros		NEG	6	caros
5	5	0.022137431427836418	6702	11	5	moros		POS	5	interesantes
6	6	0.02016349323093891	15830	11	5	moros		POS	4	bonitos
7	7	0.020070446655154228	26241	11	5	moros		NEG	3	raros
8	8	0.019065195694565773	1417	11	5	moros		NEU	2	diferentes
9	9	0.01805800199508667	11062	11	5	moros		NEU	1	frecuentes
0	0	0.08684496581554413	3497	12	5	moros		NEG	10	pocos
1	1	0.04671335965394974	3988	12	5	moros		POS	9	buenos
2	2	0.022074352949857712	8450	12	5	moros		NEG	8	cuantos
3	3	0.020271001383662224	18618	12	5	moros		NEG	7	locos
4	4	0.01802396960556507	8700	12	5	moros		NEG	6	malos
5	5	0.014683599583804607	20244	12	5	moros		POS	5	maravillosos
6	6	0.013043919578194618	8992	12	5	moros		POS	4	excelentes
7	7	0.01216887217015028	37637	12	5	moros		NEU	3	privilegiados
8	8	0.011429406702518463	3144	12	5	moros		NEG	2	humanos
9	9	0.010406354442238808	18533	12	5	moros		NEG	1	caros
0	0	0.028071396052837372	9616	0	5	indios		NEU	10	cristianos
1	1	0.023792050778865814	18346	0	5	indios		NEG	9	esclavos
2	2	0.022913673892617226	3144	0	5	indios		NEU	8	humanos
3	3	0.019632384181022644	17178	0	5	indios		NEU	7	musulmanes
4	4	0.01832038350403309	19395	0	5	indios		NEU	6	indios
5	5	0.012090674601495266	7777	0	5	indios		NEG	5	pobres
6	6	0.01142759807407856	18404	0	5	indios		NEU	4	romanos
7	7	0.009664416313171387	316	0	5	indios		NEG	3	los
8	8	0.009272479452192783	3988	0	5	indios		POS	2	buenos
9	9	0.007467853836715221	22524	0	5	indios		NEU	1	inocentes
0	0	0.025327486917376518	9616	1	5	indios		NEU	10	cristianos
1	1	0.024432560428977013	33511	1	5	indios		POS	9	bienvenidos
2	2	0.014642874710261822	22664	1	5	indios		NEU	8	jovenes
3	3	0.014352810569107533	3988	1	5	indios		POS	7	buenos
4	4	0.012071371078491211	316	1	5	indios		NEG	6	los
5	5	0.011026721447706223	2274	1	5	indios		NEU	5	amigos
6	6	0.010699416510760784	1537	1	5	indios		NEU	4	mujeres
7	7	0.009980469942092896	3144	1	5	indios		NEU	3	humanos
8	8	0.009912807494401932	17178	1	5	indios		NEU	2	musulmanes
9	9	0.009322901256382465	9876	1	5	indios		POS	1	felices
0	0	0.044607024639844894	2274	2	5	indios		NEG	10	amigos
1	1	0.03567354008555412	3497	2	5	indios		NEG	9	pocos
2	2	0.02952384762465954	18618	2	5	indios		NEG	8	locos
3	3	0.02665639854967594	34851	2	5	indios		POS	7	afortunados
4	4	0.02328980527818203	3988	2	5	indios		POS	6	buenos
5	5	0.019567517563700676	13891	2	5	indios		NEU	5	reyes
